manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
Acura,Integra,16.919,16.36,0,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2.828,0
Acura,TL,39.384,19.875,0,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,3.673,0
Acura,RL,8.588,29.725,0,42,3.5,210,114.6,71.4,196.6,3.85,18,22,2.15,0
Audi,A4,20.397,22.255,0,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,3.015,0
Audi,A6,18.78,23.555,0,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,2.933,0
Audi,A8,1.38,39,0,62,4.2,310,113,74,198.2,3.902,23.7,21,0.322,0
BMW,328i,9.231,28.675,0,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,2.223,0
BMW,528i,17.527,36.125,0,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8,2.864,0
Buick,Century,91.561,12.475,0,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,4.517,0
Buick,Regal,39.35,13.74,0,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,3.672,0
Buick,Park Avenue,27.851,20.19,0,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3.327,0
Buick,LeSabre,83.257,13.36,0,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,4.422,0
Cadillac,DeVille,63.729,22.525,0,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,4.155,0
Cadillac,Eldorado,6.536,25.725,0,39.665,4.6,275,108,75.5,200.6,3.843,19,22,1.877,0
Cadillac,Catera,11.185,18.225,0,31.01,3,200,107.4,70.3,194.8,3.77,18,22,2.415,0
Chevrolet,Cavalier,145.519,9.25,0,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,4.98,0
Chevrolet,Malibu,135.126,11.225,0,16.535,3.1,170,107,69.4,190.4,3.051,15,25,4.906,0
Chevrolet,Lumina,24.629,10.31,0,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,3.204,0
Chevrolet,Monte Carlo,42.593,11.525,0,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,3.752,0
